print_issn	online_issn	pid_issn	collection	pid	yop	year_month_day	total_item_requests	total_item_investigations	unique_item_requests	unique_item_investigations
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000400004	2009	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000400006	2008	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000400005	2006	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000300006	2008	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000400011	2008	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142007000300001	2007	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142007000100020	2007	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000400002	2006	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000100005	2005	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200017	2009	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000100005	2008	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000200007	2009	2024-05-26	1	4	1	4
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000100023	2009	2024-05-26	1	1	1	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000100008	2008	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000400008	2006	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000400005	2005	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000200006	2006	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000400007	2005	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000200013	2008	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000400003	2006	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142009000400006	2009	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142007000300008	2007	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000200008	2005	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000200006	2008	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000400004	2008	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142005000400006	2005	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142007000300006	2007	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000300003	2006	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142008000100007	2008	2024-05-26	0	1	0	1
0002-7014	1851-8044	0002-7014	arg	S0002-70142006000100009	2006	2024-05-26	0	1	0	1
